date,hour,price,cloud_cover,global_tilted_irradiance,precipitation,temperature_2m,wind_speed_10m
2024-05-15,18,190.95,85.77777777777777,113.22222222222223,0.022222222222222223,13.933333333333334,9.844444444444443
2024-05-15,19,259.46,69.11111111111111,42.84444444444444,0.022222222222222223,13.333333333333334,9.033333333333333
2024-05-15,20,327.64,72.88888888888889,5.244444444444444,0.08888888888888889,12.366666666666667,9.022222222222222
2024-05-15,21,270.77,65.33333333333333,0.0,0.09999999999999999,12.055555555555555,9.200000000000001
2024-05-15,22,167.73,61.44444444444444,0.0,0.03333333333333333,11.722222222222221,8.877777777777776
2024-05-15,23,152.57,60.44444444444444,0.0,0.011111111111111112,11.466666666666669,8.322222222222223
2024-05-16,0,176.87,60.44444444444444,0.0,0.03333333333333333,11.144444444444442,7.688888888888889
2024-05-16,1,173.13,75.44444444444444,0.0,0.05555555555555555,10.78888888888889,8.411111111111111
2024-05-16,2,167.09,76.11111111111111,0.0,0.06666666666666667,10.588888888888889,8.58888888888889
2024-05-16,3,161.16,75.11111111111111,0.0,0.011111111111111112,10.61111111111111,6.333333333333334
2024-05-16,4,163.23,74.55555555555556,0.0,0.0,10.455555555555556,6.199999999999999
2024-05-16,5,166.25,77.33333333333333,0.1,0.0,10.255555555555555,6.366666666666666
2024-05-16,6,192.65,77.55555555555556,22.433333333333334,0.0,10.911111111111111,7.466666666666667
2024-05-16,7,248.9,82.44444444444444,102.63333333333331,0.0,12.31111111111111,8.622222222222222
2024-05-16,8,254.26,78.66666666666667,236.96666666666664,0.0,13.477777777777778,10.655555555555557
2024-05-16,9,203.52,73.44444444444444,382.7555555555556,0.0,14.5,12.444444444444446
2024-05-16,10,192.65,72.0,532.9444444444446,0.0,15.5,13.900000000000002
2024-05-16,11,176.22,84.88888888888889,630.8111111111111,0.0,16.377777777777776,14.711111111111112
2024-05-16,12,155.41,84.77777777777777,681.8666666666667,0.044444444444444446,17.200000000000003,15.055555555555555
2024-05-16,13,159.69,79.11111111111111,637.2555555555555,0.1111111111111111,17.444444444444443,15.388888888888893
2024-05-16,14,175.18,93.77777777777777,532.7666666666667,0.2777777777777778,17.42222222222222,15.233333333333333
2024-05-16,15,178.86,98.44444444444444,441.59999999999997,0.022222222222222223,16.644444444444442,13.277777777777777
2024-05-16,16,187.92,98.88888888888889,365.2222222222223,0.1444444444444445,16.566666666666666,13.555555555555555
2024-05-16,17,178.88,100.0,215.9333333333333,0.3333333333333333,15.91111111111111,12.055555555555555
2024-05-16,18,196.7,99.66666666666667,124.34444444444443,0.17777777777777778,15.422222222222224,10.633333333333333
2024-05-16,19,279.53,96.11111111111111,46.75555555555556,0.15555555555555556,14.377777777777778,9.233333333333334
2024-05-16,20,318.55,98.22222222222223,6.166666666666668,0.17777777777777778,13.477777777777776,8.644444444444444
2024-05-16,21,307.59,99.0,0.0,0.14444444444444446,12.755555555555553,8.52222222222222
2024-05-16,22,177.04,99.11111111111111,0.0,0.08888888888888888,12.644444444444444,8.688888888888888
2024-05-16,23,166.75,97.88888888888889,0.0,0.011111111111111112,12.433333333333332,9.188888888888888
2024-05-17,0,153.87,95.0,0.0,0.1111111111111111,12.08888888888889,10.377777777777778
2024-05-17,1,142.25,95.0,0.0,0.08888888888888888,11.844444444444445,10.999999999999998
2024-05-17,2,142.64,97.0,0.0,0.1888888888888889,11.7,11.277777777777779
2024-05-17,3,141.97,93.11111111111111,0.0,0.08888888888888889,11.777777777777779,8.28888888888889
2024-05-17,4,156.99,94.11111111111111,0.0,0.1888888888888889,11.5,8.255555555555555
2024-05-17,5,176.22,81.55555555555556,0.1,0.011111111111111112,11.277777777777779,9.255555555555556
2024-05-17,6,222.44,81.0,21.011111111111113,0.0,11.622222222222222,9.622222222222222
2024-05-17,7,268.09,74.22222222222223,91.53333333333333,0.011111111111111112,12.555555555555555,11.055555555555555
2024-05-17,8,243.27,80.22222222222223,215.16666666666663,0.03333333333333333,13.544444444444444,13.433333333333334
2024-05-17,9,202.08,86.88888888888889,386.5555555555555,0.0,14.88888888888889,14.61111111111111
2024-05-17,10,181.97,79.44444444444444,521.7,0.011111111111111112,15.966666666666669,15.06666666666667
2024-05-17,11,156.15,91.66666666666667,607.8555555555555,0.0,16.88888888888889,14.844444444444443
2024-05-17,12,118.66,93.66666666666667,657.0888888888888,0.0,17.766666666666666,14.933333333333334
2024-05-17,13,93.9,93.44444444444444,629.4222222222222,0.0,18.477777777777778,14.455555555555556
2024-05-17,14,109.47,91.33333333333333,597.2111111111112,0.0,18.944444444444443,14.811111111111112
2024-05-17,15,121.24,92.11111111111111,462.9666666666665,0.011111111111111112,17.899999999999995,11.299999999999999
